Time,Jan.,Feb.,March,April,May,June,July,Aug.,Sept.,Oct.,Nov.,Dec.,Avg.,Min.,Max.
2000,,,,,,,,,3.584,1.646,1.415,0.123,0.211,0.966,0.715
2001,6.532,0.252,1.093,6.323,4.482,0.254,0.092,0.088,0.72,0.524,2.974,4.383,2.31,0.088,6.532
2002,1.805,0.13,3.157,6.455,1.155,0.02,0.045,1.06,1.034,3.32,2.322,0.375,1.74,0.02,6.455
2003,7.727,0.207,2.288,4.336,9.235,2.262,0.19,0.234,1.375,1.329,5.169,1.98,3.028,0.19,9.235
2004,1.912,7.162,10.909,3.386,2.86,0.454,0.107,1.097,1.846,1.445,2.859,1.99,3.002,0.107,10.909
2005,0.642,5.139,1.898,0.247,6.104,0.277,0.4,0.085,0.158,0.43,2.133,1.753,1.606,0.085,6.104
2006,3.01,1.432,4.493,2.698,3.827,0.022,0.055,0.331,0.492,2.309,10.331,1.976,2.581,0.022,10.331
2007,0.452,4.596,1.735,0.414,0.49,5.142,0.75,0.214,3.975,6.146,2.364,0.908,2.265,0.214,6.146
2008,0.636,0.113,3.804,2.188,2.265,1.524,0.034,0.579,1.664,0.696,2.009,0.393,1.325,0.034,3.804
2009,1.256,2.88,2.605,1.379,3.346,2.944,0.17,0.103,0.849,1.358,5.497,2.267,2.054,0.103,5.497
2010,9.289,0.148,5.614,5.85,8.852,0.263,0.153,0.2,0.333,0.311,1.943,1.686,2.887,0.148,9.289
2011,1.788,5.952,0.567,5.909,3.575,0.109,0.14,0.21,3.993,4.344,0.841,1.613,2.42,0.109,5.952
2012,0.458,0.174,12.006,3.387,3.626,0.197,0.142,0.143,1.365,0.802,8.968,0.383,2.638,0.142,12.006
2013,2.435,3.807,0.34,1.101,5.533,0.934,0.255,0.226,5.266,1.495,2.763,1.066,2.102,0.226,5.533
2014,1.243,3.372,0.102,16.452,0.46,0.388,0.138,0.192,1.875,3.257,0.953,2.913,2.612,0.102,16.452
2015,0.84,0.425,0.833,6.38,1.836,1.935,0.536,0.282,2.405,3.041,2.653,0.973,1.845,0.282,6.38
2016,0.09,0.7,0.797,17.529,3.718,0.175,0.331,0.219,0.177,7.912,8.806,0.385,3.403,0.09,17.529
2017,2.828,1.482,4.145,2.328,4.094,0.12,0.021,1.112,1.69,0.899,0.179,0.405,1.609,0.021,4.145
2018,1.229,0.046,5.688,6.223,3.795,0.19,0.064,1.323,0.081,0.167,3.875,2.37,2.088,0.046,6.223
2019,0.852,0.166,0.569,4.817,3.278,4.417,0.167,1.109,3.146,1.31,2.003,2.945,2.065,0.166,4.817
2020,2.138,7.685,11.536,3.171,2.78,0.486,0.209,1.634,2.253,1.519,2.941,2.122,3.206,0.209,11.536
2021,0.717,5.514,2.007,0.231,5.933,0.297,0.776,0.127,0.192,0.452,2.195,1.87,1.693,0.127,5.933
2022,3.365,1.537,4.752,2.527,3.72,0.023,0.106,0.493,0.601,2.427,10.631,2.107,2.691,0.023,10.631
2023,0.505,4.931,1.835,0.387,0.476,5.512,1.455,0.319,4.851,6.46,2.432,0.968,2.511,0.319,6.46
2024,0.711,0.121,4.022,2.049,2.202,1.633,0.066,0.862,2.031,0.732,2.067,0.42,1.41,0.066,4.022
2025,1.404,3.09,2.755,1.292,3.252,3.156,0.329,0.153,1.036,1.428,5.656,2.417,2.164,0.153,5.656
2026,10.385,0.159,5.936,5.478,8.604,0.281,0.297,0.298,0.407,0.327,1.999,1.799,2.998,0.159,10.385
2027,1.999,6.386,0.599,5.534,3.475,0.116,0.272,0.312,4.874,4.566,0.865,1.721,2.56,0.116,6.386
2028,0.512,0.187,12.696,3.172,3.524,0.211,0.276,0.214,1.666,0.843,9.228,0.408,2.745,0.187,12.696
2029,2.722,4.085,0.359,1.031,5.378,1.001,0.494,0.337,6.427,1.572,2.843,1.137,2.282,0.337,6.427
2030,1.389,3.618,0.108,15.408,0.447,0.416,0.267,0.285,2.288,3.423,0.98,3.107,2.645,0.108,15.408
2031,0.94,0.456,0.881,5.974,1.784,2.074,1.041,0.42,2.935,3.196,2.729,1.038,1.956,0.42,5.974
2032,0.101,0.751,0.843,16.416,3.614,0.187,0.642,0.326,0.216,8.315,9.062,0.411,3.407,0.101,16.416
2033,3.161,1.59,4.383,2.18,3.98,0.129,0.042,1.655,2.062,0.945,0.184,0.432,1.729,0.042,4.383
2034,1.374,0.05,6.015,5.827,3.689,0.204,0.124,1.97,0.099,0.175,3.988,2.528,2.17,0.05,6.015
2035,0.953,0.178,0.602,4.511,3.186,4.735,0.324,1.651,3.839,1.377,2.062,3.14,2.213,0.178,4.735
