Time,Jan.,Feb.,March,April,May,June,July,Aug.,Sept.,Oct.,Nov.,Dec.
2000,,,,,,,,,4.637,3.035,9.887,0.966
2001,5.157,0.185,1.094,6.969,6.494,2.879,2.088,0.525,3.471,2.926,8.48,7.966
2002,3.202,0.155,5.257,12.94,6.173,1.082,0.412,4.697,5.234,12.24,3.87,0.656
2003,6.092,0.124,1.886,2.304,17.843,6.615,3.155,0.201,0.667,1.486,5.152,1.827
2004,1.413,6.107,5.996,3.856,14.348,0.275,0.13,5.424,3.391,2.524,4.211,5.853
2005,0.166,7.219,2.646,0.284,11.189,0.414,4.943,0.805,1.88,4.241,4.759,5.22
2006,0.715,2.824,4.714,5.523,7.193,2.054,0.413,2.2,0.675,8.154,11.107,6.963
2007,1.967,3.246,2.843,0.528,4.509,13.67,1.037,6.141,8.004,15.029,3.637,0.375
2008,0.509,0.634,1.548,0.436,4.913,2.98,0.309,3.812,6.356,8.543,2.99,2.441
2009,1.166,3.091,12.229,9.067,18.085,6.643,3.955,1.475,1.039,1.167,3.574,3.546
2010,15.081,0.279,13.662,11.599,10.518,1.012,2.276,1.673,2.806,2.294,4.69,4.601
2011,2.047,13.321,0.327,7.266,10.1,2.128,3.773,2.667,6.127,6.844,3.476,4.398
2012,0.23,0.241,11.011,9.41,8.065,1.892,2.934,5.263,3.322,1.737,15.818,0.143
2013,0.632,20.059,0.207,6.945,10.836,1.238,2.387,2.251,4.43,3.029,1.473,2.172
2014,7.851,1.805,0.776,12.133,3.809,1.837,0.61,1.222,4.649,4.731,2.157,7.665
2015,1.855,0.264,0.485,10.113,6.286,9.752,1.116,2.597,6.381,8.415,6.66,2.279
2016,0.221,0.855,0.609,22.771,11.018,0.513,1.054,0.297,0.469,4.994,3.68,5.093
2017,6.04,5.101,8.465,2.008,14.321,1.836,0.92,3.058,10.894,2.75,0.402,5.825
2018,4.783,0.244,13.828,5.8,11.101,2.739,1.405,7.423,2.6,0.732,5.83,1.118
2019,1.223,0.302,1.471,3.134,1.092,5.615,0.607,1.709,3.204,9.214,5.285,11.053
2020,1.765,6.638,6.881,3.81,13.832,0.3,0.178,8.012,4.049,2.796,4.177,6.186
2021,0.208,7.847,3.037,0.281,10.786,0.452,6.745,1.188,2.245,4.697,4.721,5.517
2022,0.894,3.07,5.409,5.457,6.934,2.24,0.563,3.249,0.806,9.03,11.019,7.36
2023,2.457,3.529,3.263,0.522,4.346,14.907,1.414,9.07,9.556,16.645,3.608,0.396
2024,0.636,0.689,1.777,0.431,4.736,3.25,0.421,5.631,7.589,9.461,2.966,2.581
2025,1.456,3.36,14.032,8.958,17.434,7.244,5.397,2.179,1.241,1.293,3.546,3.748
2026,18.836,0.304,15.677,11.46,10.14,1.104,3.105,2.471,3.351,2.541,4.653,4.863
2027,2.557,14.479,0.376,7.179,9.737,2.32,5.148,3.939,7.316,7.58,3.448,4.649
2028,0.287,0.262,12.635,9.297,7.775,2.064,4.004,7.773,3.967,1.924,15.691,0.151
2029,0.789,21.804,0.237,6.861,10.446,1.35,3.257,3.324,5.289,3.355,1.461,2.296
2030,9.806,1.962,0.89,11.987,3.672,2.003,0.833,1.805,5.551,5.24,2.14,8.102
2031,2.317,0.287,0.557,9.991,6.059,10.634,1.523,3.836,7.619,9.32,6.606,2.409
2032,0.276,0.929,0.699,22.497,10.621,0.559,1.438,0.438,0.56,5.53,3.651,5.383
2033,7.544,5.544,9.713,1.984,13.805,2.002,1.255,4.516,13.008,3.045,0.399,6.157
2034,5.975,0.265,15.867,5.73,10.701,2.987,1.917,10.963,3.104,0.811,5.783,1.182
2035,1.527,0.329,1.688,3.096,1.053,6.124,0.828,2.525,3.825,10.205,5.243,11.683
