Time,Jan.,Feb.,March,April,May,June,July,Aug.,Sept.,Oct.,Nov.,Dec.,Avg.,Min.,Max.
2000,,,,,,,,,1808.545,1564.32,1041.783,816.334,642.848,503.532,394.383
2001,245.636,118.053,130.492,1671.967,267.086,44.969,36.155,27.646,21.478,16.961,30.039,18.428,219.076,16.961,1671.967
2002,65.728,6.765,49.5,569.888,856.549,69.675,54.802,42.771,33.388,26.261,24.73,32.173,152.686,6.765,856.549
2003,191.348,10.135,9.444,78.888,1984.795,3.814,2.971,2.337,1.84,1.418,1.198,8.108,191.358,1.198,1984.795
2004,2.204,21.984,710.557,473.562,164.611,0.201,0.158,0.124,0.101,0.11,2.377,1.229,114.768,0.101,710.557
2005,17.418,40.294,25.888,103.005,719.523,54.867,0.009,0.324,0.031,0.467,0.003,0.003,80.153,0.003,719.523
2006,0.004,0.002,9.458,127.58,139.92,20.149,15.852,12.444,9.694,7.725,350.015,223.526,76.364,0.002,350.015
2007,193.842,111.663,59.733,91.045,109.56,136.67,1.533,15.593,1.748,1.281,1.21,1.633,60.459,1.21,193.842
2008,1.302,4.191,15.517,440.895,2.557,0.212,0.092,0.062,0.055,0.068,1.645,0.074,38.889,0.055,440.895
2009,0.925,35.266,25.784,276.896,99.066,3.124,0.004,0.007,0.003,0.002,0.874,40.664,40.218,0.002,276.896
2010,920.382,4.865,1134.053,1333.626,3027.686,59.653,46.921,36.615,28.575,22.667,24.048,83.937,560.252,4.865,3027.686
2011,38.479,23.918,8.752,968.042,301.982,3.579,30.39,2.021,2.721,11.39,35.812,467.837,157.91,2.021,968.042
2012,0.585,0.785,1217.688,328.52,128.743,0.203,0.143,0.123,4.284,0.08,247.463,41.155,164.148,0.08,1217.688
2013,23.919,30.344,1.901,411.906,730.107,0.009,0.007,0.006,0.004,0.003,0.215,0.629,99.921,0.003,730.107
2014,19.823,0.184,3.112,1829.733,0.075,0.003,0,0.15,86.028,0.607,2.795,135.132,173.137,0,1829.733
2015,56.329,0.022,1.594,583.119,196.343,0.01,0,0,0,0.003,1.853,117.698,79.748,0,583.119
2016,0.07,0.033,0.554,1716.925,832.562,0,0,0,0,0.009,0.273,75.227,218.804,0,1716.925
2017,0.052,0.902,36.544,134.82,77.76,0,0,0,0,0.004,0.12,7.056,21.438,0,134.82
2018,0.8,0,20.004,152.694,414.58,104.183,81.946,64.16,57.651,39.263,33.096,24.561,82.745,0,414.58
2019,19.016,14.72,13.047,60.862,309.587,21.847,4.421,3.452,6.234,2.434,35.132,185.187,56.328,2.434,309.587
2020,6.389,70.793,1547.162,694.3,194.105,1.673,1.329,1.239,1.227,27.036,36.951,4.369,215.548,1.227,1547.162
2021,51.562,99.292,72.54,128.98,805.212,67.448,1.529,2.793,1.231,17.69,1.181,3.144,104.383,1.181,805.212
2022,1.226,0.862,83.331,176.478,151.768,43.953,34.919,27.839,53.476,28.103,761.748,303.542,138.937,0.862,761.748
2023,313.432,242.611,184.052,161.275,173.215,219.708,35.954,273.825,46.072,41.064,15.031,23.195,144.119,15.031,313.432
2024,10.055,14.849,27.885,535.447,48.531,30.645,24.058,18.577,24.713,20.896,34.088,7.172,66.41,7.172,535.447
2025,10.705,120.548,71.14,405.771,118.228,70.132,11.289,8.778,6.77,5.306,14.341,83.053,77.172,5.306,405.771
2026,1504.135,10.69,1478.048,1381.322,3259.169,138.483,108.893,85.005,71.195,52.848,68.105,201.333,696.602,10.69,3259.169
2027,90.297,75.715,19.345,1189.443,359.141,9.375,72.309,40.288,49.808,272.556,120.779,843.331,261.866,9.375,1189.443
2028,81.658,64.126,1747.594,504.466,164.755,24.544,19.973,15.392,86.469,9.382,981.354,118.606,318.193,9.382,1747.594
2029,78.997,210.067,5.851,570.182,875.607,9.201,7.242,12.525,18.276,22.822,7.424,5.631,151.985,5.631,875.607
2030,101.852,4.66,17.685,2220.192,0.736,0.524,0.397,1.328,398.86,4.111,12.143,251.784,251.189,0.397,2220.192
2031,133.634,0.489,8.185,736.549,213.843,12.247,0.038,8.124,0.684,6.066,24.869,162.862,108.966,0.038,736.549
2032,0.201,0.13,1.473,2164.038,948.19,0.004,0.003,0.003,0.002,29.312,8.087,126.385,273.152,0.002,2164.038
2033,2.683,8.515,77.676,170.047,84.588,0,0.006,0.001,0,0.016,0.377,30.158,31.172,0,170.047
2034,4.765,0.007,96.365,187.352,445.869,125.914,99.025,78.134,91.138,47.724,62.551,30.301,105.762,0.007,445.869
2035,23.208,17.868,15.969,97.991,373.739,49.581,9.021,8.115,250.111,20.556,77.4,276.526,101.674,8.115,373.739
