Time,Jan.,Feb.,March,April,May,June,July,Aug.,Sept.,Oct.,Nov.,Dec.,,,
2000,,,,,,,,,1434.269,1447.993,2200.189,972.481,,,
2001,397.92,306.293,292.853,1989.319,1755.369,412.93,403.724,237.401,194.072,231.199,2391.339,241.274,,,
2002,186.679,104.908,152.357,2595.307,2399.329,433.905,343.329,630.093,236.119,186.145,258.046,149.666,,,
2003,1344.156,175.964,148.024,364.632,5488.226,552.531,580.621,355.257,288.152,217.749,206.383,285.812,,,
2004,114.279,107.408,145.405,536.638,4628.086,405.413,256.796,212.685,163.45,353.128,476.42,206.344,,,
2005,273.431,263.036,517.948,154.614,2845.187,612.442,312.984,275.394,175.451,152.065,117.135,94.357,,,
2006,67.077,54.172,233.57,237.903,578.209,690.305,404.299,320.252,375.822,433.387,1819.608,1454.517,,,
2007,979.534,894.134,545.109,437.471,499.979,4596.516,568.233,1352.084,512.271,710.612,239.409,189.937,,,
2008,150.322,140.957,103.402,414.644,353.6,385.838,284.924,344.405,296.885,334.566,278.419,447.077,,,
2009,322.878,372.064,254.392,1667.387,5411.223,1532.576,693.472,298.526,233.944,183.78,247.742,201.46,,,
2010,4180.696,196.759,3615.21,3310.798,3275.131,616.145,491.27,463.178,347.372,239.886,200.816,237.326,,,
2011,214.773,166.521,75.964,1847.278,2738.749,456.878,532.411,452.395,532.012,549.508,527.235,1681.41,,,
2012,599.497,467.915,885.841,1030.109,2414.359,701.995,752.257,528.824,519.32,318.49,4935.878,649.437,,,
2013,668.83,3789.189,318.694,2998.293,3586.94,682.525,536.897,526.989,383.119,710.03,242.589,201.509,,,
2014,2233.917,132.014,107.645,1312.623,86.937,313.694,162.593,136.006,994.009,237.963,407.075,2313.835,,,
2015,296.074,230.908,186.354,1968.771,1954.855,2600.597,435.65,443.945,290.841,248.786,1525.962,557.881,,,
2016,410.276,319.276,254.161,2483.891,3569.624,391.897,307.972,252.868,187.74,206.987,116.404,494.747,,,
2017,97.234,183.162,700.39,204.556,4547.758,286.744,266.148,229.227,1336.878,122.52,104.384,1060.44,,,
2018,144.813,91.66,1766.451,263.923,3754.558,662.509,590.362,479.873,467.192,239.752,221.769,149.17,,,
2019,114.813,89.373,71.849,86.705,406.027,961.334,472.628,187.474,688.122,2123.547,1196.17,3227.697,,,
2020,21.353,7.899,14.325,590.378,3.635,3.67,1.852,1.445,1.209,2.644,24.777,74.111,62.275,1.209,590.378
2021,371.771,231.333,116.777,28.763,671.154,190.223,9.579,7.628,5.847,4.607,3.586,2.841,137.009,2.841,671.154
2022,2.255,2.679,149.767,46.288,11.85,0.672,0.526,0.699,2.103,0.247,4.443,682.708,75.353,0.247,682.708
2023,157.4,194.884,83.483,44.181,32.78,345.758,28.983,56.111,17.358,13.569,10.691,9.29,82.874,9.29,345.758
2024,6.884,24.05,19.842,88.472,7.321,5.753,4.475,3.487,2.745,6.675,4.015,138.72,26.037,2.745,138.72
2025,44.339,86.841,43.084,474.751,148.211,102.533,34.485,4.462,3.49,2.738,2.642,9.059,79.719,2.642,474.751
2026,1439.778,6.48,259.237,708.806,19.102,18.324,14.153,11.044,8.647,6.854,5.323,12.654,209.2,5.323,1439.778
2027,20.4,22.778,3.275,272.714,66.019,1.39,7.552,1.001,0.474,222.214,3.925,1231.059,154.4,0.474,1231.059
2028,31.354,25.81,568.805,40.763,648.736,62.341,48.954,38.021,40.085,23.649,300.321,74.394,158.603,23.649,648.736
2029,256.238,68.734,8.834,798.847,52.261,40.622,31.952,24.944,22.076,23.941,12.148,27.437,114.003,8.834,798.847
2030,290.551,5.835,5.492,116.852,2.817,2.202,1.723,1.582,25.138,7.166,1.006,600.132,88.375,1.006,600.132
2031,41.244,0.625,0.386,152.401,248.438,0.442,0.107,4.978,0.076,0.07,170.53,11.88,52.598,0.07,248.438
2032,0.861,4.31,2.335,939.541,1599.826,1.82,1.428,1.114,0.869,0.723,3.474,34.499,215.9,0.723,1599.826
2033,9.687,7.496,62.869,7.527,29.994,0.099,0.078,0.062,0.409,0.336,2.148,5.375,10.507,0.062,62.869
2034,83.105,0.23,179.717,29.257,98.258,33.614,26.441,28.386,26.732,16.789,15.34,10.607,45.706,0.23,179.717
2035,8.31,6.443,5.199,245.87,32.876,5.738,2.567,1.488,183.906,2.058,12.265,969.972,123.058,1.488,969.972
