Time,Jan.,Feb.,March,April,May,June,July,Aug.,Sept.,Oct.,Nov.,Dec.,Avg.,Min.,Max.
2000,,,,,,,,,1412.807,1175.014,1598.86,744.105,606.22,471.142,363.573
2001,135.065,105.657,86.597,718.826,332.277,41.289,33.138,26.294,169.513,22.057,1025.033,9.382,225.427,9.382,1025.033
2002,7.324,5.721,4.712,7.752,72.696,2.203,1.793,11.641,6.647,206.751,80.915,5.452,34.467,1.793,206.751
2003,1.203,0.309,0.332,5.267,98.161,133.53,40.381,8.185,113.818,0.318,10.116,26.358,36.498,0.309,133.53
2004,0.028,0.017,0.013,5.507,348.799,5.101,0.271,151.319,4.853,278.252,196.213,0.095,82.539,0.013,348.799
2005,0.001,0.001,0.461,0.265,608.244,84.841,0.305,21.936,4.945,25.44,63.766,0.002,67.517,0.001,608.244
2006,0,0,0.161,10.916,116.114,0.636,0.328,12.396,71.941,61.601,183.878,167.039,52.084,0,183.878
2007,34.203,26.89,21.372,17.79,30.064,100.6,9.473,377.992,256.87,113.544,4.438,2.423,82.972,2.423,377.992
2008,1.845,1.445,2.496,86.826,0.823,50.04,0.833,66.282,104.639,84.005,167.183,80.838,53.938,0.823,167.183
2009,63.096,49.246,39.349,53.481,74.149,19.396,43.999,12.56,9.284,41.614,9.74,13.044,35.746,9.284,74.149
2010,320.747,3.243,133.432,208.382,1083.105,1.244,1.791,33.63,151.184,8.487,23.341,4.655,164.437,1.244,1083.105
2011,3.66,2.81,2.3,3.368,633.195,27.167,35.342,102.448,1812.792,245.141,1380.494,240.057,374.064,2.3,1812.792
2012,150.174,117.216,92.926,94.034,159.994,45.009,38.419,68.854,469.556,100.516,3359.848,68.965,397.126,38.419,3359.848
2013,8.045,10.806,5.85,355.634,907.13,2.443,4.649,59.3,52.722,293.375,73.807,0.598,147.863,0.598,907.13
2014,0.433,0.338,0.285,0.247,0.569,0.225,0.121,0.923,390.548,19.267,12.707,366.44,66.009,0.121,390.548
2015,0.023,0.018,0.025,34.717,38.947,22.398,0.056,23.287,0.143,8.786,1359.596,183.237,139.269,0.018,1359.596
2016,0.005,0.001,0.013,28.351,511.55,0.174,0.029,2.035,0.11,12.486,0.237,1.82,46.401,0.001,511.55
2017,0,0,0.024,0.37,69.981,0.021,0.175,81.17,991.86,7.592,2.492,1.851,96.295,0,991.86
2018,0,0.016,4.906,2.581,2199.036,0.629,0.008,12.425,117.619,0.314,0.106,0.332,194.831,0,2199.036
2019,0,0.005,0,0.11,1.194,6.968,16.279,0.193,61.408,280.041,239.823,108.343,59.53,0,280.041
2020,364.582,427.793,472.257,950.532,4600.79,566.752,337.572,669.743,305.357,829.358,936.881,559.648,918.439,305.357,4600.79
2021,726.719,614.659,880.004,409.718,2950.99,817.133,506.455,698.311,341.779,333.43,239.128,195.018,726.112,195.018,2950.99
2022,134.256,132.219,565.984,474.862,697.979,811.604,534.143,567.961,655.85,1382.109,2450.873,2063.458,872.608,132.219,2450.873
2023,1437.526,1303.479,941.269,726.28,689.775,5544.254,759.579,2837.02,3027.765,1666.753,587.242,462.974,1665.326,462.974,5544.254
2024,385.662,458.227,331.081,793.446,572.706,524.806,453.423,1048.128,1829.509,1686.606,771.986,888.29,811.989,331.081,1829.509
2025,661.951,703.24,610.662,2723.418,5023.69,1584.603,1388.539,381.556,355.117,304.576,451.571,428.451,1218.115,304.576,5023.69
2026,5564.265,501.831,4723.488,3611.252,3417.707,740.173,676.113,801.495,568.611,440.296,529.917,554.523,1844.139,440.296,5564.265
2027,518.681,478.223,251.309,2337.6,2838.271,590.032,1130.019,920.991,2286.356,2238.748,1012.194,2445.612,1420.67,251.309,2838.271
2028,988.444,771.498,1406.446,1459.633,2566.166,857.237,1267.622,1457.533,869.242,742.864,5601.258,1053.553,1586.791,742.864,5601.258
2029,1155.599,5101.226,581.506,3587.961,3742.57,831.6,675.717,1037.908,1274.223,1371.398,547.267,580.721,1707.308,547.267,5101.226
2030,3390.944,419.267,338.872,2190.651,248.054,436.503,312.532,350.465,2399.55,680.388,926.166,3095.509,1232.408,248.054,3390.944
2031,632.586,493.024,396.908,2565.392,2060.089,3243.37,565.61,975.184,544.177,533.532,2009.317,808.066,1235.605,396.908,3243.37
2032,666.467,521.784,417.039,4004.259,3577.95,467.806,368.018,417.24,226.536,518.477,176.401,914.751,1023.06,176.401,4004.259
2033,231.945,438.278,1083.421,355.787,4488.343,345.063,423.737,516.624,3859.64,611.14,439.129,1699.954,1207.755,231.945,4488.343
2034,470.924,317.417,2530.916,513.318,3886.885,758.382,776.816,1835.124,811.627,405.034,440.019,265.086,1084.296,265.086,3886.885
2035,329.651,253.952,203.83,217.362,485.727,1547.604,707.286,540.193,1474.566,3204.099,1747.364,3909.812,1218.454,203.83,3909.812
