Time,Jan.,Feb.,March,April,May,June,July,Aug.,Sept.,Oct.,Nov.,Dec.,Avg.,Min.,Max.
2000,,,,,,,,,3.435,1.21,1.121,0.096,0.284,1.466,0.585
2001,11.382,0.27,0.29,4.074,2.814,0.246,0.25,0.092,0.254,0.252,6.435,4.617,2.581,0.092,11.382
2002,4.705,0.299,4.341,2.655,7.199,0.265,0.395,0.053,0.47,0.882,4.839,0.61,2.226,0.053,7.199
2003,1.55,0.091,4.11,10.559,16.406,0.034,0.553,0.208,0.102,0.416,7.707,1.517,3.604,0.034,16.406
2004,6.224,1.386,0.816,7.012,0.874,0.111,0.157,0.395,4.387,0.386,0.064,8.113,2.494,0.064,8.113
2005,0.982,2.96,1.173,0.235,6.626,0.053,0.124,0.031,0.226,0.4,1.218,2.134,1.347,0.031,6.626
2006,0.09,1.389,9.776,1.467,3.621,0.102,0.196,0.751,0.347,0.168,3.905,7.588,2.45,0.09,9.776
2007,2.867,2.843,5.341,0.512,0.127,8.403,0.386,0.706,1.577,0.999,2.171,0.428,2.197,0.127,8.403
2008,0.902,0.933,5.751,0.126,0.25,0.933,0.026,0.199,1.282,8.324,0.844,1.997,1.797,0.026,8.324
2009,2.483,3.394,11.208,4.989,3.481,5.703,0.169,0.389,0.116,0.032,1.341,0.351,2.805,0.032,11.208
2010,10.175,0.116,0.958,4.675,1.857,0.258,0.154,0.038,0.906,0.21,1.522,6.08,2.246,0.038,10.175
2011,0.283,7.126,0.194,3.761,7.831,0.25,0.104,0.154,0.109,12.61,0.392,7.123,3.328,0.104,12.61
2012,0.327,0.061,6.533,3.437,7.782,0.244,0.156,0.784,0.42,0.151,5.788,0.191,2.156,0.061,7.782
2013,4.071,6.05,0.221,6.278,0.451,0.082,0.262,0.043,5.001,3.263,1.525,3.155,2.533,0.043,6.278
2014,2.747,0.504,0.302,3.699,0.105,0.262,0.143,0.113,0.45,6.878,0.394,10.075,2.139,0.105,10.075
2015,1.379,1.175,0.338,4.931,2.192,0.489,0.027,0.994,0.123,3.46,8.156,2.714,2.165,0.027,8.156
2016,0.377,3.67,0.323,16.017,8.43,0.01,0.2,0.06,0.094,3.97,10.581,4.175,3.992,0.01,16.017
2017,1.406,1.787,3.239,0.152,6.853,0.027,0.194,0.111,0.447,0.291,0.15,3.806,1.538,0.027,6.853
2018,1.805,0.029,1.67,7.333,0.335,0.075,0.13,1.065,0.068,0.43,1.398,1.835,1.348,0.029,7.333
2019,1.506,0.125,0.056,8.406,0.238,2.345,0.083,0.153,6.532,3.518,0.307,7.402,2.556,0.056,8.406
2020,6.538,1.5,0.926,6.801,0.887,0.181,0.2,0.727,6.098,0.441,0.066,8.925,2.774,0.066,8.925
2021,1.032,3.204,1.331,0.228,6.726,0.086,0.158,0.058,0.314,0.456,1.254,2.348,1.433,0.058,6.726
2022,0.095,1.503,11.096,1.423,3.676,0.167,0.249,1.383,0.482,0.192,4.022,8.347,2.72,0.095,11.096
2023,3.012,3.077,6.062,0.496,0.129,13.74,0.491,1.301,2.192,1.14,2.236,0.471,2.862,0.129,13.74
2024,0.948,1.01,6.527,0.122,0.254,1.526,0.033,0.367,1.782,9.502,0.869,2.197,2.095,0.033,9.502
2025,2.608,3.674,12.721,4.84,3.533,9.325,0.215,0.716,0.162,0.037,1.381,0.386,3.3,0.037,12.721
2026,10.689,0.126,1.088,4.534,1.884,0.422,0.196,0.071,1.259,0.239,1.568,6.688,2.397,0.071,10.689
2027,0.298,7.714,0.22,3.648,7.948,0.409,0.132,0.283,0.151,14.394,0.404,7.835,3.62,0.132,14.394
2028,0.344,0.066,7.415,3.334,7.899,0.399,0.198,1.445,0.584,0.172,5.961,0.211,2.336,0.066,7.899
2029,4.276,6.549,0.251,6.09,0.458,0.133,0.333,0.079,6.951,3.725,1.571,3.47,2.824,0.079,6.951
2030,2.886,0.546,0.342,3.588,0.107,0.429,0.181,0.208,0.626,7.851,0.406,11.082,2.354,0.107,11.082
2031,1.448,1.272,0.384,4.783,2.225,0.799,0.034,1.83,0.171,3.95,8.4,2.986,2.357,0.034,8.4
2032,0.396,3.973,0.367,15.536,8.557,0.016,0.254,0.11,0.131,4.532,10.898,4.592,4.114,0.016,15.536
2033,1.477,1.934,3.676,0.147,6.956,0.044,0.247,0.204,0.621,0.332,0.154,4.186,1.665,0.044,6.956
2034,1.896,0.031,1.896,7.113,0.34,0.123,0.165,1.962,0.095,0.491,1.44,2.018,1.464,0.031,7.113
2035,1.583,0.135,0.063,8.154,0.242,3.834,0.106,0.283,9.079,4.016,0.317,8.143,2.996,0.063,9.079
